SKU,Price API,Price Shopify,Quantity
P8192,11.53,16.11,7
P8195,10.98,15.35,10
P8199,11.55,16.14,50
P8202,18.74,26.06,0
P8207,10.35,14.48,10
P8209,22.17,30.79,10
P8211,17.19,23.92,10
P8212,8.34,11.71,1
P8213,15.11,21.05,10
P8215,9.56,13.39,0
P8216,5.21,7.39,10
P8218,9.56,13.39,10
P8219,9.56,13.39,10
P8221,9.56,13.39,0
P8222,3.79,5.43,10
P8223,6.13,8.66,100
P8224,4.97,7.06,0
P8225,4.2,6.00,50
P8226,5.21,7.39,100
P8227,4.01,5.73,100
P8228,4.67,6.64,10
P8233,13.97,19.48,10
P8234,7.03,9.90,100
P8237,14.78,20.60,4
P8240,14.33,19.98,10
P8245,7.02,9.89,0
P8246,4.78,6.80,10
P8247,6.95,9.79,10
P8248,11.28,15.77,100
P8249,10.27,14.37,10
P8250,6.57,9.27,100
P8251,8.61,12.08,10
P8252,6.79,9.57,100
P8253,5.74,8.12,0
P8254,8.62,12.10,100
P8255,8.95,12.55,10
P8256,16.6,23.11,0
P8259,8.78,12.32,50
P8260,18.17,25.27,0
P8261,9.4,13.17,10
P8262,10.24,14.33,10
P8263,8.54,11.99,100
P8264,16.35,22.76,10
P8268,7.45,10.48,10
P8269,31.23,43.30,10
P8270,20.69,28.75,10
P8265,20.96,29.12,0
P8267,11.51,16.08,10
P8272,8.04,11.30,3
P8273,26.75,37.12,50
P8277,7.57,10.65,10
P8278,8.49,11.92,10
P8279,9.62,13.48,50
P8280,9.32,13.06,10
P8281,10.97,15.34,100
P8282,5.89,8.33,0
P8303,17.6,24.49,0
P8433,23.57,32.73,10
P8695,15.76,21.95,7
P8703,28.39,39.38,2
P9187,17.31,24.09,100
P9315,17.58,24.46,10
P9345,25.37,35.21,10
P9351,8.19,11.50,10
P9553,20.37,28.31,0
P9554,16.37,22.79,0
P9587,8.49,11.92,10
P9588,21.07,29.28,0
P9720,4.8,6.82,10
P9939,19.26,26.78,0
P20024,24.24,33.65,10
P20026,6.46,9.11,10
P20056,16.77,23.34,0
P20337,24.29,33.72,10
P20338,24.29,33.72,10
P20362,20.58,28.60,0
P20734,53.54,74.09,100
P20735,38.68,53.58,7
P20737,11.57,16.17,100
P20757,11.53,16.11,10
P20758,10.67,14.92,10
P20762,8.04,11.30,0
P20765,13.08,18.25,0
P20767,9.82,13.75,10
P20769,16.06,22.36,10
P20770,11.94,16.68,10
P20771,16.87,23.48,8
P20772,17.4,24.21,7
P20774,21.38,29.70,0
P20775,21.38,29.70,0
P20778,7.84,11.02,2
P20780,24.87,34.52,0
P20788,14.63,20.39,50
P20789,22.89,31.79,0
P20790,8.5,11.93,7
P20792,24.31,33.75,0
P20810,16.13,22.46,100
P20811,8.8,12.34,10
P20815,20.05,27.87,10
P20817,12.6,17.59,50
P20816,12.54,17.51,100
P20813,10.24,14.33,0
P20824,25.28,35.09,5
P20850,25.11,34.85,10
P20852,9.0,12.62,50
P20856,5.49,7.78,100
P20855,8.04,11.30,50
P20858,33.23,46.06,10
P20898,33.4,46.29,8
P20899,33.4,46.29,10
P20939,37.15,51.47,6
P21591,33.23,46.06,10
P21592,33.23,46.06,0
P21607,16.12,22.45,10
P21610,17.66,24.57,10
P21647,19.37,26.93,100
P21648,28.7,39.81,100
P21649,16.39,22.82,100
P21650,18.51,25.74,0
P21651,43.07,59.64,100
P21662,25.14,34.89,5
P21674,47.98,66.41,9
P21753,14.21,19.81,100
P21868,38.43,53.23,0
P21870,38.43,53.23,0
P22335,5.0,7.10,50
P22373,6.26,8.84,0
P22375,6.17,8.71,0
P22403,8.69,12.19,0
P22405,11.95,16.69,50
P22458,51.65,71.48,1
P22460,51.65,71.48,2
P22708,37.13,51.44,0
P22709,5.84,8.26,10
P22712,10.87,15.20,100
P22713,9.19,12.88,0
P22759,26.12,36.25,10
P23039,31.18,43.23,0
P23041,9.12,12.79,10
P23137,12.8,17.86,7
P23168,24.29,33.72,10
P23180,40.89,56.63,10
P23308,7.64,10.74,0
P23309,14.66,20.43,0
P23313,19.67,27.34,0
P23401,17.58,24.46,10
P23403,17.58,24.46,10
P23405,20.17,28.03,10
P23406,12.38,17.28,0
P23407,12.38,17.28,2
P23408,12.38,17.28,0
P23409,12.38,17.28,2
P23456,25.28,35.09,5
P23458,25.37,35.21,6
P23460,25.37,35.21,6
P23461,25.37,35.21,10
P23661,10.38,14.52,0
P23674,40.99,56.77,10
P23771,14.0,19.52,0
P23774,17.07,23.76,0
P23827,16.45,22.90,0
P23830,40.94,56.70,0
P23853,40.54,56.15,4
P23854,40.54,56.15,1
P23856,40.54,56.15,0
P23858,40.54,56.15,1
P23859,40.54,56.15,0
P23874,10.64,14.88,10
P23889,15.71,21.88,0
P23890,6.65,9.38,0
P23891,11.62,16.24,10
P23898,10.64,14.88,100
P23900,7.97,11.20,0
P23904,9.31,13.05,50
P24082,42.48,58.82,10
P24107,26.85,37.25,6
P24200,11.75,16.41,0
P24201,13.9,19.38,10
P24206,10.77,15.06,0
P24209,9.23,12.94,10
P24211,7.59,10.67,10
P24219,12.77,17.82,10
P24220,9.57,13.41,100
P24221,26.87,37.28,0
P24224,12.35,17.24,0
P24249,16.48,22.94,0
P24286,8.79,12.33,10
P24287,8.79,12.33,10
P24288,8.79,12.33,10
P24289,8.79,12.33,50
P24380,5.61,7.94,0
P24383,11.17,15.61,0
P24395,5.95,8.41,6
P24522,11.98,16.73,100
P24523,16.58,23.08,50
P24524,7.97,11.20,0
P24525,6.36,8.98,0
P24526,18.43,25.63,10
P24527,13.95,19.45,10
P24529,15.22,21.20,10
P24530,8.41,11.81,10
P24531,11.58,16.18,10
P24532,11.46,16.01,0
P24533,21.02,29.21,2
P24534,12.7,17.73,10
P24535,6.92,9.75,4
P24536,26.92,37.35,10
P24537,14.71,20.50,0
P24538,21.57,29.97,50
P24539,12.08,16.87,10
P24540,34.5,47.81,10
P24541,6.07,8.58,0
P24543,21.06,29.26,10
P24544,5.34,7.57,10
P24545,22.04,30.62,50
P24546,12.05,16.83,0
P24547,8.04,11.30,10
P24548,22.81,31.68,10
P24550,8.85,12.41,0
P24551,18.02,25.07,0
P24552,15.8,22.00,7
P24553,8.84,12.40,0
P24554,6.8,9.58,100
P24566,6.67,9.40,50
P24676,9.07,12.72,0
P24993,10.28,14.39,100
P24997,9.0,12.62,100
P24999,17.53,24.39,10
P25000,5.75,8.14,100
P25003,9.27,12.99,0
P25004,3.67,5.26,50
P25005,5.71,8.08,10
P25006,10.55,14.76,0
P25007,40.11,55.55,50
P25009,5.31,7.53,0
P25087,26.76,37.13,7
P25088,26.76,37.13,3
